CPT_Code
99214
99233
99232
99223
99213
99204
Q4275
J0129
99215
87798
Q4326
99205
J2507
93306
Q4205
78452
J0717
Q4250
G0483
78431
J0875
J2785
99203
99255
99239
99222
99309
87481
A9502
Q4277
A4305
99291
J0490
36482
J1602
S9500
95819
J0897
93015
99308
87801
93229
A9500
93458
J3111
J3380
96413
95165
J9271
Q4186
Q4278
11042
80307
J3262
J0491
J1745
93880
95144
J0878
33285
36465
G0439
78434
95810
99396
95886
93925
96365
A9555
99254
95811
S9502
99212
G2211
92928
93000
27278
Q4290
99385
L4361
11750
90671
96360
J0517
95913
90961
36475
96401
73630
93970
99386
70553
20610
J9312
59400
97110
58558
J2356
99305
27447
J7050
87529
90460
64640
93656
87640
57288
99236
95004
11730
99306
99395
96367
63650
87633
59409
76830
51728
E0781
20550
93010
52000
58571
99211
97530
J9035
99244
87653
92941
90651
99496
45380
27130
90960
57260
99245
J0561
97140
57283
59510
J9144
33208
J3247
90966
G0438
97597
99392
87641
37229
90750
87651
99391
J1437
J7298
95715
93971
J9299
90677
S9501
33340
45385
99495
87661
87511
15275
99394
93241
J7325
76856
96361
J2185
59514
99459
72148
90716
90962
17110
95800
Q0091
99999
93460
28285
76816
87591
87491
93280
76942
T1013
73721
96374
J1439
99393
43239
J0775
90723
J1335
Q4154
J7327
90680
Q5121
64483
37225
11721
J7307
64450
76815
33249
44207
87500
73620
27096
44180
47562
Q4164
90471
94729
93298
55899
29580
57425
95816
90833
94726
11102
33361
76536
Q0138
74178
90935
G0283
96372
45378
75716
71250
62323
73130
J9228
97162
96366
90868
G0181
71046
95911
94760
Q4259
93653
28740
J9055
90461
72158
99231
87811
93454
J2357
95251
90734
93224
93297
72156
L1906
64635
51729
93657
J0791
96416
51784
93312
11043
97035
55250
L3000
90715
A9575
90620
87804
73565
37215
64493
76981
J9355
74177
22514
94060
35301
96110
73610
37227
96116
87502
95910
70544
20600
15004
75625
15830
93459
76819
37224
20680
76801
G0180
37221
90707
76817
76872
J7296
G0008
36558
37226
93308
92652
90661
62321
97164
20611
99202
93609
99397
97169
44205
28270
J9306
22513
L4396
90381
64615
20605
69210
73221
19318
11755
74174
74176
87880
36247
99304
28296
19301
28005
L4397
93284
99152
14040
72141
96415
37228
93296
51798
99316
72100
58662
46600
90653
90696
L4360
NSHOW
57240
36592
87634
28010
14301
96417
93294
J7300
99238
G0444
51701
11044
70551
99183
76937
J0696
96132
76775
J9217
20692
64636
87507
93922
71271
G0481
64484
73562
28122
0446T
31575
76770
G0659
58573
51797
95724
75710
28308
L3020
0448T
64490
92978
94660
J0712
64633
